open,high,low,close,volume,trend_code,year,month,day,hour,dayofweek,Actual_Label,Predicted_Label
10229.29,10276.1,10141.54,10252.1,0,1,2017,12,14,0,3,Sideways,Sideways
1077.84,1079.9,1070.5,1076.0,0,0,2002,12,19,0,3,Downtrend,Downtrend
11953.75,12103.05,11920.1,12088.55,0,2,2019,6,3,0,0,Uptrend,Uptrend
11681.0,11814.4,11651.0,11796.45,0,2,2019,6,25,0,1,Uptrend,Uptrend
4572.5,4664.05,4561.75,4653.0,0,2,2008,6,17,0,1,Uptrend,Uptrend
1125.59,1141.3,1125.5,1134.15,0,2,2003,6,30,0,0,Uptrend,Uptrend
1130.0,1134.09,1121.34,1123.34,0,0,2002,3,27,0,2,Downtrend,Downtrend
1009.5,1026.0,1009.5,1020.15,0,2,2002,11,22,0,4,Uptrend,Uptrend
14754.9,14868.85,14574.15,14789.95,0,2,2021,2,3,0,2,Uptrend,Uptrend
1125.15,1200.25,1114.59,1194.2,0,1,2001,3,14,0,2,Sideways,Sideways
23179.5,23179.5,21281.45,21884.5,0,0,2024,6,4,0,1,Downtrend,Downtrend
8657.29,8657.3,8596.6,8615.25,0,0,2016,10,26,0,2,Downtrend,Downtrend
17615.55,17750.9,17581.34,17691.25,0,2,2021,10,4,0,0,Uptrend,Uptrend
11890.0,11939.55,11823.45,11896.45,0,1,2020,10,22,0,3,Sideways,Sideways
1125.25,1135.0,1123.8,1129.0,0,1,2002,4,18,0,3,Sideways,Sideways
4450.39,4545.39,4450.39,4529.89,0,2,2009,6,1,0,0,Uptrend,Uptrend
4747.55,4758.7,4695.45,4742.8,0,0,2012,1,9,0,0,Downtrend,Downtrend
988.6,994.25,984.35,988.45,0,2,2002,8,21,0,2,Uptrend,Uptrend
5208.3,5257.25,5208.3,5230.1,0,1,2010,4,20,0,1,Sideways,Sideways
2574.44,2602.94,2559.85,2598.0,0,2,2005,9,28,0,2,Uptrend,Uptrend
5116.35,5152.6,5102.1,5133.39,0,2,2010,3,11,0,3,Uptrend,Uptrend
3567.45,3597.2,3563.1,3571.05,0,2,2006,10,10,0,1,Uptrend,Uptrend
2576.69,2585.6,2504.9,2567.3,0,0,2005,9,21,0,2,Downtrend,Downtrend
7695.55,7728.2,7643.8,7714.9,0,2,2016,3,22,0,1,Uptrend,Uptrend
5561.9,5621.5,5561.75,5607.15,0,2,2012,2,21,0,1,Uptrend,Uptrend
1652.1,1658.9,1616.85,1621.6,0,0,2004,8,11,0,2,Downtrend,Downtrend
10671.85,10674.95,10589.1,10596.4,0,0,2018,5,18,0,4,Downtrend,Downtrend
8739.0,8783.95,8719.6,8778.0,0,1,2017,2,16,0,3,Sideways,Sideways
24669.7,24754.4,24526.15,24716.6,0,0,2025,6,2,0,0,Downtrend,Downtrend
22798.6,22910.15,22642.6,22821.4,0,2,2024,6,6,0,3,Uptrend,Uptrend
2698.1,2727.05,2647.1,2652.2,0,0,2005,11,30,0,2,Downtrend,Downtrend
5510.05,5577.6,5510.05,5565.65,0,2,2013,8,8,0,3,Uptrend,Uptrend
9945.85,9964.85,9917.2,9929.9,0,2,2017,9,7,0,3,Uptrend,Uptrend
5633.9,5782.55,5632.65,5762.75,0,2,2007,11,30,0,4,Uptrend,Uptrend
3074.6,3127.25,3064.0,3123.1,0,2,2006,3,1,0,2,Uptrend,Uptrend
9223.7,9250.5,9188.1,9198.3,0,0,2017,4,7,0,4,Downtrend,Downtrend
22103.45,22186.65,22021.05,22122.25,0,2,2024,2,19,0,0,Uptrend,Uptrend
4182.0,4182.0,4074.3,4083.5,0,0,2007,4,27,0,4,Downtrend,Downtrend
4878.6,4922.25,4850.2,4870.2,0,2,2012,5,17,0,3,Uptrend,Uptrend
5298.85,5317.0,5265.95,5287.95,0,2,2012,7,3,0,1,Uptrend,Uptrend
6320.15,6330.3,6297.9,6313.8,0,2,2014,1,21,0,1,Uptrend,Uptrend
25209.0,25261.9,25084.65,25169.5,0,0,2025,9,23,0,1,Downtrend,Downtrend
6723.15,6730.05,6662.4,6704.2,0,2,2014,3,31,0,0,Uptrend,Uptrend
24297.95,24394.45,24149.85,24198.85,0,0,2024,12,18,0,2,Downtrend,Downtrend
3507.45,3517.65,3342.85,3508.35,0,1,2006,4,28,0,4,Sideways,Sideways
9621.54,9627.4,9580.45,9618.15,0,0,2017,6,14,0,2,Downtrend,Downtrend
3933.3,3963.75,3890.75,3911.4,0,0,2007,1,9,0,1,Downtrend,Downtrend
5345.25,5377.6,5331.05,5338.0,0,2,2012,8,8,0,2,Uptrend,Uptrend
4993.35,5072.89,4942.89,5064.3,0,2,2011,9,6,0,1,Uptrend,Uptrend
1643.95,1653.15,1641.8,1650.15,0,2,2004,9,7,0,1,Uptrend,Uptrend
5463.75,5500.6,5412.95,5483.9,0,2,2008,2,5,0,1,Uptrend,Uptrend
1089.9,1098.0,1071.34,1082.3,0,0,2001,12,18,0,1,Downtrend,Downtrend
15840.5,15895.75,15752.1,15772.75,0,2,2021,6,22,0,1,Uptrend,Uptrend
10792.45,10804.45,10630.95,10661.55,0,0,2019,1,28,0,0,Downtrend,Downtrend
971.95,989.05,971.95,986.25,0,2,2001,10,17,0,2,Uptrend,Uptrend
18614.4,18652.9,18387.7,18414.9,0,0,2022,12,15,0,3,Downtrend,Downtrend
2892.0,2932.9,2846.5,2916.9,0,0,2006,6,19,0,0,Downtrend,Downtrend
